t_center,regime,regime_name,offline_static_f1,offline_periodic_f1,online_adaptive_f1,config
25765,2,R2 scale-out,0.38235294117647056,0.9615384615384616,0.7346938775510204,C2
26015,3,R3 combined load,0.4014084507042254,0.47058823529411764,0.8490566037735849,C2
26265,3,R3 combined load,0.39087947882736157,0.8688524590163934,0.8717948717948718,C2
26515,3,R3 combined load,0.39344262295081966,0.8992248062015504,0.8521739130434782,C2
26765,3,R3 combined load,0.2527075812274368,0.8421052631578947,0.8732394366197183,C2
27015,3,R3 combined load,0.3197278911564626,0.8131868131868132,0.7777777777777778,C2
27265,3,R3 combined load,0.3356164383561644,0.9038461538461539,0.8842105263157894,C2
27515,3,R3 combined load,0.1791044776119403,0.8518518518518519,0.9090909090909091,C2
27765,3,R3 combined load,0.4380952380952381,0.8854961832061069,0.8225806451612904,C2
28015,3,R3 combined load,0.4129032258064516,0.8034188034188035,0.819672131147541,C2
28265,3,R3 combined load,0.4416403785488959,0.9323308270676691,0.8571428571428571,C2
28515,3,R3 combined load,0.5925925925925926,0.93,0.8730964467005076,C2
28765,3,R3 combined load,0.208955223880597,0.8571428571428571,0.6666666666666666,C2
29015,3,R3 combined load,0.0,0.0,0.0,C2
29265,3,R3 combined load,0.29473684210526313,0.9285714285714286,0.7848101265822784,C2
29515,3,R3 combined load,0.509090909090909,0.9202453987730062,0.7866666666666666,C2
29765,3,R3 combined load,0.46645367412140576,0.8905109489051095,0.8714285714285714,C2
30015,3,R3 combined load,0.432258064516129,0.9133858267716536,0.8217054263565892,C2
30265,3,R3 combined load,0.16541353383458646,0.8936170212765957,0.9130434782608695,C2
30515,3,R3 combined load,0.0,0.0,0.0,C2
30765,3,R3 combined load,0.0,0.0,0.0,C2
31015,3,R3 combined load,0.18045112781954886,0.7906976744186046,0.65,C2
31265,3,R3 combined load,0.12355212355212356,0.8484848484848485,0.7741935483870968,C2
31515,3,R3 combined load,0.42443729903536975,0.916030534351145,0.8455284552845529,C2
31765,3,R3 combined load,0.1444866920152091,0.8125,0.6451612903225806,C2
32015,3,R3 combined load,0.3708609271523179,0.8367346938775511,0.780952380952381,C2
32265,3,R3 combined load,0.29473684210526313,0.825,0.6363636363636364,C2
32515,3,R3 combined load,0.6096866096866097,0.9359605911330049,0.863849765258216,C2
32765,3,R3 combined load,0.41042345276872966,0.9152542372881356,0.8188976377952756,C2
33015,3,R3 combined load,0.15849056603773584,0.9523809523809523,0.8837209302325582,C2
33265,3,R3 combined load,0.2271062271062271,0.896551724137931,0.7857142857142857,C2
33515,3,R3 combined load,0.49079754601226994,0.8904109589041096,0.864516129032258,C2
33765,3,R3 combined load,0.1797752808988764,0.8235294117647058,0.7391304347826086,C2
34015,3,R3 combined load,0.2937062937062937,0.9512195121951219,0.8051948051948052,C2
34265,3,R3 combined load,0.5389221556886228,0.9545454545454546,0.9204545454545454,C2
34475,3,R3 combined load,0.36363636363636365,0.9295774647887324,0.8235294117647058,C2
8765,1,R1 latency regression,0.48,0.48,0.9583333333333334,C3
9015,1,R1 latency regression,0.34782608695652173,0.34782608695652173,0.9791666666666666,C3
9265,1,R1 latency regression,0.2631578947368421,0.6306306306306306,0.9552238805970149,C3
9515,1,R1 latency regression,0.23107569721115537,0.6373626373626373,0.9666666666666667,C3
9765,1,R1 latency regression,0.3271375464684015,0.9565217391304348,1.0,C3
10015,1,R1 latency regression,0.40816326530612246,0.96,0.9655172413793104,C3
10265,1,R1 latency regression,0.6130952380952381,0.9951219512195122,0.9852216748768473,C3
10515,1,R1 latency regression,0.3404255319148936,0.9591836734693877,0.9690721649484536,C3
10765,1,R1 latency regression,0.22568093385214008,0.9666666666666667,0.9473684210526315,C3
